Epoch:228;steps:2280/50000;train_cost:2.6298576831817626;val_cost:2.2114787
Epoch:229;steps:2290/50000;train_cost:2.6782362341880797;val_cost:2.8851743
Epoch:230;steps:2300/50000;train_cost:2.5403608798980715;val_cost:2.988976
len(original_list) 32 len(detected_list) 18  test and detect length desn't match
Epoch:231;steps:2310/50000;train_cost:2.4789464712142943;val_cost:2.0255468
Epoch:232;steps:2320/50000;train_cost:2.5394168853759767;val_cost:2.6701066
Epoch:233;steps:2330/50000;train_cost:2.845774269104004;val_cost:2.7116275
Epoch:234;steps:2340/50000;train_cost:2.9013079166412354;val_cost:2.5274124
Epoch:235;steps:2350/50000;train_cost:2.9062965869903565;val_cost:2.76259
Epoch:236;steps:2360/50000;train_cost:2.7531866312026976;val_cost:2.3812866
Epoch:237;steps:2370/50000;train_cost:2.871469569206238;val_cost:2.6744542
Epoch:238;steps:2380/50000;train_cost:2.7700693368911744;val_cost:2.0954862
Epoch:239;steps:2390/50000;train_cost:2.6451468229293824;val_cost:2.2575011
Epoch:240;steps:2400/50000;train_cost:2.3461730241775514;val_cost:2.3967798
len(original_list) 32 len(detected_list) 12  test and detect length desn't match
Epoch:241;steps:2410/50000;train_cost:2.527400040626526;val_cost:2.437766
Epoch:242;steps:2420/50000;train_cost:2.570493292808533;val_cost:2.8176026
Epoch:243;steps:2430/50000;train_cost:2.8012954711914064;val_cost:2.7502456
Epoch:244;steps:2440/50000;train_cost:2.558157134056091;val_cost:2.9250846
Epoch:245;steps:2450/50000;train_cost:2.3329652905464173;val_cost:2.766492
Epoch:246;steps:2460/50000;train_cost:2.601093292236328;val_cost:2.5210774
Epoch:247;steps:2470/50000;train_cost:2.482004189491272;val_cost:2.208139
Epoch:248;steps:2480/50000;train_cost:2.6162062883377075;val_cost:2.431851
Epoch:249;steps:2490/50000;train_cost:2.498106002807617;val_cost:2.7727363
Epoch:250;steps:2500/50000;train_cost:2.4098796129226683;val_cost:1.9165673
len(original_list) 32 len(detected_list) 16  test and detect length desn't match
Epoch:251;steps:2510/50000;train_cost:2.374656558036804;val_cost:3.223415
Epoch:252;steps:2520/50000;train_cost:2.733847641944885;val_cost:2.99546
Epoch:253;steps:2530/50000;train_cost:2.726698899269104;val_cost:2.180406
Epoch:254;steps:2540/50000;train_cost:2.362127590179443;val_cost:2.9380107
Epoch:255;steps:2550/50000;train_cost:2.498457205295563;val_cost:2.769649
Epoch:256;steps:2560/50000;train_cost:2.3927588939666746;val_cost:1.8060293
Epoch:257;steps:2570/50000;train_cost:2.553603708744049;val_cost:2.3158777
Epoch:258;steps:2580/50000;train_cost:2.496648347377777;val_cost:1.9580615
Epoch:259;steps:2590/50000;train_cost:2.7757596373558044;val_cost:1.9996343
Epoch:260;steps:2600/50000;train_cost:2.5137797236442565;val_cost:3.00557
len(original_list) 32 len(detected_list) 18  test and detect length desn't match
Epoch:261;steps:2610/50000;train_cost:2.442713665962219;val_cost:2.0261695
Epoch:262;steps:2620/50000;train_cost:2.584972250461578;val_cost:2.8944516
Epoch:263;steps:2630/50000;train_cost:2.495634913444519;val_cost:1.8945248
